路径编号,5年总收益率,年化收益率,最大回撤,20万终值(万)
594,604.0%,47.7%,-18.4%,140.8
595,1659.6%,77.5%,-6.9%,351.9
596,542.9%,45.1%,-13.2%,128.6
597,1083.6%,63.9%,-15.3%,236.7
598,471.2%,41.7%,-16.5%,114.2
599,872.6%,57.6%,-17.3%,194.5
600,1240.6%,68.1%,-19.5%,268.1
601,1256.7%,68.5%,-14.9%,271.3
602,1293.6%,69.4%,-18.8%,278.7
603,1042.9%,62.8%,-12.2%,228.6
604,531.1%,44.5%,-12.9%,126.2
605,1040.4%,62.7%,-19.5%,228.1
606,778.3%,54.4%,-10.5%,175.7
607,502.0%,43.2%,-10.3%,120.4
608,697.6%,51.5%,-11.3%,159.5
609,796.3%,55.1%,-10.3%,179.3
610,1084.4%,63.9%,-20.2%,236.9
611,1531.3%,74.8%,-15.9%,326.3
612,1136.2%,65.4%,-11.5%,247.2
613,1464.2%,73.3%,-14.2%,312.8
614,654.0%,49.8%,-19.5%,150.8
615,792.5%,54.9%,-10.4%,178.5
616,1907.1%,82.2%,-10.3%,401.4
617,546.1%,45.2%,-19.4%,129.2
618,1633.4%,76.9%,-10.3%,346.7
619,913.4%,58.9%,-19.8%,202.7
